timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532538432887,11,HTTP Request,200,,loadTest 2-117,text,true,,3142,133,1,1,,11,0,0
1532538432907,11,HTTP Request,200,,loadTest 2-118,text,true,,3142,133,1,1,,11,0,0
1532538432927,11,HTTP Request,200,,loadTest 2-119,text,true,,3142,133,1,1,,11,0,0
1532538432946,11,HTTP Request,200,,loadTest 2-120,text,true,,3142,133,1,1,,11,0,0
1532538432967,11,HTTP Request,200,,loadTest 2-121,text,true,,3142,133,1,1,,11,0,0
1532538432986,11,HTTP Request,200,,loadTest 2-122,text,true,,3142,133,1,1,,11,0,1
1532538433006,11,HTTP Request,200,,loadTest 2-123,text,true,,3142,133,1,1,,11,0,1
1532538433026,12,HTTP Request,200,,loadTest 2-124,text,true,,3142,133,1,2,,12,0,0
1532538433046,11,HTTP Request,200,,loadTest 2-125,text,true,,3142,133,1,1,,11,0,0
1532538433066,11,HTTP Request,200,,loadTest 2-126,text,true,,3142,133,1,1,,11,0,1
1532538433086,11,HTTP Request,200,,loadTest 2-127,text,true,,3142,133,1,1,,11,0,1
1532538433107,11,HTTP Request,200,,loadTest 2-128,text,true,,3142,133,1,1,,11,0,0
1532538433126,12,HTTP Request,200,,loadTest 2-129,text,true,,3142,133,1,1,,12,0,1
1532538433146,11,HTTP Request,200,,loadTest 2-130,text,true,,3142,133,1,1,,11,0,0
1532538433165,11,HTTP Request,200,,loadTest 2-131,text,true,,3142,133,1,1,,11,0,1
1532538433185,12,HTTP Request,200,,loadTest 2-132,text,true,,3142,133,1,1,,12,0,1
1532538433205,12,HTTP Request,200,,loadTest 2-133,text,true,,3142,133,1,1,,12,0,1
1532538433225,11,HTTP Request,200,,loadTest 2-134,text,true,,3142,133,1,1,,11,0,1
1532538433245,11,HTTP Request,200,,loadTest 2-135,text,true,,3142,133,1,1,,11,0,1
1532538433266,11,HTTP Request,200,,loadTest 2-136,text,true,,3142,133,1,1,,11,0,0
1532538433286,11,HTTP Request,200,,loadTest 2-137,text,true,,3142,133,1,1,,11,0,0
1532538433306,11,HTTP Request,200,,loadTest 2-138,text,true,,3142,133,1,1,,11,0,0
1532538433326,11,HTTP Request,200,,loadTest 2-139,text,true,,3142,133,1,1,,11,0,0
1532538433346,11,HTTP Request,200,,loadTest 2-140,text,true,,3142,133,1,1,,11,0,0
1532538433366,11,HTTP Request,200,,loadTest 2-141,text,true,,3142,133,1,1,,11,0,0
1532538433386,11,HTTP Request,200,,loadTest 2-142,text,true,,3142,133,1,1,,11,0,0
1532538433406,11,HTTP Request,200,,loadTest 2-143,text,true,,3142,133,1,1,,11,0,0
1532538433426,11,HTTP Request,200,,loadTest 2-144,text,true,,3142,133,1,1,,11,0,0
1532538433446,11,HTTP Request,200,,loadTest 2-145,text,true,,3142,133,1,1,,11,0,0
1532538433466,12,HTTP Request,200,,loadTest 2-146,text,true,,3142,133,1,1,,12,0,1
1532538433485,12,HTTP Request,200,,loadTest 2-147,text,true,,3142,133,1,1,,12,0,1
1532538433505,12,HTTP Request,200,,loadTest 2-148,text,true,,3142,133,1,1,,12,0,0
1532538433525,16,HTTP Request,200,,loadTest 2-149,text,true,,3142,133,1,1,,16,0,1
1532538433545,12,HTTP Request,200,,loadTest 2-150,text,true,,3142,133,1,1,,12,0,1
1532538433565,12,HTTP Request,200,,loadTest 2-151,text,true,,3142,133,1,1,,12,0,1
1532538433585,12,HTTP Request,200,,loadTest 2-152,text,true,,3142,133,1,1,,12,0,1
1532538433605,12,HTTP Request,200,,loadTest 2-153,text,true,,3142,133,1,1,,12,0,1
1532538433625,11,HTTP Request,200,,loadTest 2-154,text,true,,3142,133,1,1,,11,0,1
1532538433645,11,HTTP Request,200,,loadTest 2-155,text,true,,3142,133,1,1,,11,0,1
1532538433666,11,HTTP Request,200,,loadTest 2-156,text,true,,3142,133,1,1,,10,0,0
1532538433686,10,HTTP Request,200,,loadTest 2-157,text,true,,3142,133,1,1,,10,0,0
1532538433706,11,HTTP Request,200,,loadTest 2-158,text,true,,3142,133,1,1,,11,0,0
1532538433726,11,HTTP Request,200,,loadTest 2-159,text,true,,3142,133,1,1,,11,0,0
1532538433746,11,HTTP Request,200,,loadTest 2-160,text,true,,3142,133,1,1,,11,0,0
1532538433766,11,HTTP Request,200,,loadTest 2-161,text,true,,3142,133,1,1,,11,0,0
1532538433786,11,HTTP Request,200,,loadTest 2-162,text,true,,3142,133,1,1,,11,0,0
1532538433806,11,HTTP Request,200,,loadTest 2-163,text,true,,3142,133,1,1,,11,0,0
1532538433826,11,HTTP Request,200,,loadTest 2-164,text,true,,3142,133,1,1,,11,0,0
1532538433846,11,HTTP Request,200,,loadTest 2-165,text,true,,3142,133,1,1,,11,0,0
1532538433866,11,HTTP Request,200,,loadTest 2-166,text,true,,3142,133,1,1,,11,0,0
1532538433885,11,HTTP Request,200,,loadTest 2-167,text,true,,3142,133,1,1,,11,0,0
1532538433905,12,HTTP Request,200,,loadTest 2-168,text,true,,3142,133,1,1,,12,0,0
1532538433925,12,HTTP Request,200,,loadTest 2-169,text,true,,3142,133,1,1,,12,0,1
1532538433944,11,HTTP Request,200,,loadTest 2-170,text,true,,3142,133,1,1,,11,0,1
1532538433965,11,HTTP Request,200,,loadTest 2-171,text,true,,3142,133,1,1,,11,0,0
1532538433984,12,HTTP Request,200,,loadTest 2-172,text,true,,3142,133,1,1,,12,0,1
1532538434004,12,HTTP Request,200,,loadTest 2-173,text,true,,3142,133,1,1,,12,0,1
1532538434025,12,HTTP Request,200,,loadTest 2-174,text,true,,3142,133,1,2,,12,0,0
1532538434046,15,HTTP Request,200,,loadTest 2-175,text,true,,3142,133,1,1,,15,0,1
1532538434066,12,HTTP Request,200,,loadTest 2-176,text,true,,3142,133,1,1,,12,0,1
1532538434365,220,HTTP Request,200,,loadTest 2-191,text,true,,3142,133,26,27,,220,0,1
1532538434305,283,HTTP Request,200,,loadTest 2-188,text,true,,3142,133,25,26,,283,0,0
1532538434105,485,HTTP Request,200,,loadTest 2-178,text,true,,3142,133,24,25,,485,0,0
1532538434085,509,HTTP Request,200,,loadTest 2-177,text,true,,3142,133,23,24,,509,0,0
1532538434145,451,HTTP Request,200,,loadTest 2-180,text,true,,3142,133,22,23,,451,0,0
1532538434205,392,HTTP Request,200,,loadTest 2-183,text,true,,3142,133,22,23,,392,0,0
1532538434125,474,HTTP Request,200,,loadTest 2-179,text,true,,3142,133,20,21,,474,0,0
1532538434485,114,HTTP Request,200,,loadTest 2-197,text,true,,3142,133,20,21,,114,0,1
1532538434504,102,HTTP Request,200,,loadTest 2-198,text,true,,3142,133,19,20,,102,0,0
1532538434345,263,HTTP Request,200,,loadTest 2-190,text,true,,3142,133,18,19,,263,0,0
1532538434445,165,HTTP Request,200,,loadTest 2-195,text,true,,3142,133,17,18,,165,0,0
1532538434603,12,HTTP Request,200,,loadTest 2-203,text,true,,3142,133,16,17,,12,0,0
1532538434285,330,HTTP Request,200,,loadTest 2-187,text,true,,3142,133,16,17,,330,0,1
1532538434225,393,HTTP Request,200,,loadTest 2-184,text,true,,3142,133,14,15,,393,0,0
1532538434425,198,HTTP Request,200,,loadTest 2-194,text,true,,3142,133,13,14,,198,0,1
