timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Filename,Latency,IdleTime,Connect
1532548027898,12,pur,200,,loadTest 2-123,text,true,,3142,133,1,1,,12,0,0
1532548027918,18,pur,200,,loadTest 2-124,text,true,,3142,133,1,2,,18,0,0
1532548027938,15,pur,200,,loadTest 2-125,text,true,,3142,133,1,1,,15,0,0
1532548027958,12,pur,200,,loadTest 2-126,text,true,,3142,133,1,1,,12,0,0
1532548027978,12,pur,200,,loadTest 2-127,text,true,,3142,133,1,1,,12,0,0
1532548027998,12,pur,200,,loadTest 2-128,text,true,,3142,133,1,1,,12,0,0
1532548028018,12,pur,200,,loadTest 2-129,text,true,,3142,133,1,1,,12,0,0
1532548028038,12,pur,200,,loadTest 2-130,text,true,,3142,133,1,1,,12,0,0
1532548028058,12,pur,200,,loadTest 2-131,text,true,,3142,133,1,1,,12,0,0
1532548028078,12,pur,200,,loadTest 2-132,text,true,,3142,133,1,1,,12,0,0
1532548028099,12,pur,200,,loadTest 2-133,text,true,,3142,133,1,1,,12,0,0
1532548028119,13,pur,200,,loadTest 2-134,text,true,,3142,133,1,1,,13,0,0
1532548028139,12,pur,200,,loadTest 2-135,text,true,,3142,133,1,1,,12,0,0
1532548028159,13,pur,200,,loadTest 2-136,text,true,,3142,133,1,1,,13,0,0
1532548028178,13,pur,200,,loadTest 2-137,text,true,,3142,133,1,1,,13,0,0
1532548028198,12,pur,200,,loadTest 2-138,text,true,,3142,133,1,1,,12,0,1
1532548028218,13,pur,200,,loadTest 2-139,text,true,,3142,133,1,1,,13,0,0
1532548028238,12,pur,200,,loadTest 2-140,text,true,,3142,133,1,1,,12,0,0
1532548028258,12,pur,200,,loadTest 2-141,text,true,,3142,133,1,1,,12,0,1
1532548028278,12,pur,200,,loadTest 2-142,text,true,,3142,133,1,1,,12,0,1
1532548028298,12,pur,200,,loadTest 2-143,text,true,,3142,133,1,1,,12,0,1
1532548028318,13,pur,200,,loadTest 2-144,text,true,,3142,133,1,1,,13,0,1
1532548028338,13,pur,200,,loadTest 2-145,text,true,,3142,133,1,1,,13,0,1
1532548028359,12,pur,200,,loadTest 2-146,text,true,,3142,133,1,1,,12,0,0
1532548028380,12,pur,200,,loadTest 2-147,text,true,,3142,133,1,1,,12,0,0
1532548028400,12,pur,200,,loadTest 2-148,text,true,,3142,133,1,1,,12,0,0
1532548028419,13,pur,200,,loadTest 2-149,text,true,,3142,133,1,2,,13,0,1
1532548028439,14,pur,200,,loadTest 2-150,text,true,,3142,133,1,1,,14,0,1
1532548028460,12,pur,200,,loadTest 2-151,text,true,,3142,133,1,1,,12,0,0
1532548028480,11,pur,200,,loadTest 2-152,text,true,,3142,133,1,1,,11,0,0
1532548028500,12,pur,200,,loadTest 2-153,text,true,,3142,133,1,1,,12,0,0
1532548028520,14,pur,200,,loadTest 2-154,text,true,,3142,133,1,1,,14,0,0
1532548028540,12,pur,200,,loadTest 2-155,text,true,,3142,133,1,1,,12,0,0
1532548028560,13,pur,200,,loadTest 2-156,text,true,,3142,133,1,1,,13,0,0
1532548028580,12,pur,200,,loadTest 2-157,text,true,,3142,133,1,1,,12,0,0
1532548028600,12,pur,200,,loadTest 2-158,text,true,,3142,133,1,1,,12,0,0
1532548028620,12,pur,200,,loadTest 2-159,text,true,,3142,133,1,1,,12,0,0
1532548028640,12,pur,200,,loadTest 2-160,text,true,,3142,133,1,1,,12,0,0
1532548028660,13,pur,200,,loadTest 2-161,text,true,,3142,133,1,1,,13,0,0
1532548028681,12,pur,200,,loadTest 2-162,text,true,,3142,133,1,1,,12,0,0
1532548028701,12,pur,200,,loadTest 2-163,text,true,,3142,133,1,1,,12,0,0
1532548028721,12,pur,200,,loadTest 2-164,text,true,,3142,133,1,1,,12,0,0
1532548028741,13,pur,200,,loadTest 2-165,text,true,,3142,133,1,1,,13,0,1
1532548028761,13,pur,200,,loadTest 2-166,text,true,,3142,133,1,1,,13,0,1
1532548028781,12,pur,200,,loadTest 2-167,text,true,,3142,133,1,1,,12,0,1
1532548028801,12,pur,200,,loadTest 2-168,text,true,,3142,133,1,1,,12,0,0
1532548028821,13,pur,200,,loadTest 2-169,text,true,,3142,133,1,1,,13,0,1
1532548028842,12,pur,200,,loadTest 2-170,text,true,,3142,133,1,1,,12,0,0
1532548028861,13,pur,200,,loadTest 2-171,text,true,,3142,133,1,1,,13,0,1
1532548028881,13,pur,200,,loadTest 2-172,text,true,,3142,133,1,1,,13,0,1
1532548028902,12,pur,200,,loadTest 2-173,text,true,,3142,133,1,1,,12,0,0
1532548028921,13,pur,200,,loadTest 2-174,text,true,,3142,133,1,2,,13,0,0
1532548028941,12,pur,200,,loadTest 2-175,text,true,,3142,133,1,1,,12,0,0
1532548028961,12,pur,200,,loadTest 2-176,text,true,,3142,133,1,1,,12,0,0
1532548028982,12,pur,200,,loadTest 2-177,text,true,,3142,133,1,1,,12,0,0
1532548029002,12,pur,200,,loadTest 2-178,text,true,,3142,133,1,1,,12,0,1
1532548029022,13,pur,200,,loadTest 2-179,text,true,,3142,133,1,1,,13,0,1
1532548029050,12,pur,200,,loadTest 2-180,text,true,,3142,133,1,1,,12,0,0
1532548029126,33,pur,200,,loadTest 2-181,text,true,,3142,133,2,2,,33,0,0
1532548029146,27,pur,200,,loadTest 2-182,text,true,,3142,133,2,2,,27,0,0
1532548029166,23,pur,200,,loadTest 2-183,text,true,,3142,133,2,2,,23,0,0
1532548029186,17,pur,200,,loadTest 2-184,text,true,,3142,133,1,1,,17,0,0
1532548029206,17,pur,200,,loadTest 2-185,text,true,,3142,133,1,1,,17,0,1
1532548029226,17,pur,200,,loadTest 2-186,text,true,,3142,133,1,1,,17,0,1
1532548029245,12,pur,200,,loadTest 2-187,text,true,,3142,133,1,1,,12,0,1
1532548029265,12,pur,200,,loadTest 2-188,text,true,,3142,133,1,1,,12,0,1
1532548029285,12,pur,200,,loadTest 2-189,text,true,,3142,133,1,1,,12,0,1
1532548029305,12,pur,200,,loadTest 2-190,text,true,,3142,133,1,1,,12,0,1
1532548029326,12,pur,200,,loadTest 2-191,text,true,,3142,133,1,1,,12,0,0
1532548029346,12,pur,200,,loadTest 2-192,text,true,,3142,133,1,1,,12,0,0
1532548029366,12,pur,200,,loadTest 2-193,text,true,,3142,133,1,1,,12,0,0
1532548029386,12,pur,200,,loadTest 2-194,text,true,,3142,133,1,1,,12,0,0
1532548029406,12,pur,200,,loadTest 2-195,text,true,,3142,133,1,1,,12,0,0
1532548029426,13,pur,200,,loadTest 2-196,text,true,,3142,133,1,2,,13,0,0
1532548029446,11,pur,200,,loadTest 2-197,text,true,,3142,133,1,1,,11,0,0
1532548029466,12,pur,200,,loadTest 2-198,text,true,,3142,133,1,1,,12,0,0
1532548029486,12,pur,200,,loadTest 2-199,text,true,,3142,133,1,1,,12,0,0
1532548029506,12,pur,200,,loadTest 2-200,text,true,,3142,133,1,1,,12,0,0
1532548029526,13,pur,200,,loadTest 2-201,text,true,,3142,133,1,1,,13,0,1
1532548029546,12,pur,200,,loadTest 2-202,text,true,,3142,133,1,1,,12,0,0
1532548029566,12,pur,200,,loadTest 2-203,text,true,,3142,133,1,1,,12,0,0
1532548029586,12,pur,200,,loadTest 2-204,text,true,,3142,133,1,1,,12,0,0
1532548029606,12,pur,200,,loadTest 2-205,text,true,,3142,133,1,1,,12,0,0
1532548029626,12,pur,200,,loadTest 2-206,text,true,,3142,133,1,1,,12,0,0
1532548029646,12,pur,200,,loadTest 2-207,text,true,,3142,133,1,1,,12,0,0
1532548029665,12,pur,200,,loadTest 2-208,text,true,,3142,133,1,1,,12,0,1
1532548029685,13,pur,200,,loadTest 2-209,text,true,,3142,133,1,1,,13,0,1
1532548029706,12,pur,200,,loadTest 2-210,text,true,,3142,133,1,1,,12,0,0
1532548029725,13,pur,200,,loadTest 2-211,text,true,,3142,133,1,1,,13,0,1
1532548029746,12,pur,200,,loadTest 2-212,text,true,,3142,133,1,1,,12,0,0
1532548029765,12,pur,200,,loadTest 2-213,text,true,,3142,133,1,1,,12,0,1
1532548029786,12,pur,200,,loadTest 2-214,text,true,,3142,133,1,1,,12,0,0
1532548029805,12,pur,200,,loadTest 2-215,text,true,,3142,133,1,1,,12,0,1
1532548029825,13,pur,200,,loadTest 2-216,text,true,,3142,133,1,1,,13,0,1
1532548029845,13,pur,200,,loadTest 2-217,text,true,,3142,133,1,1,,13,0,1
1532548029865,13,pur,200,,loadTest 2-218,text,true,,3142,133,1,1,,13,0,1
1532548029886,12,pur,200,,loadTest 2-219,text,true,,3142,133,1,1,,12,0,0
1532548029905,13,pur,200,,loadTest 2-220,text,true,,3142,133,1,1,,13,0,1
1532548029926,13,pur,200,,loadTest 2-221,text,true,,3142,133,1,2,,13,0,0
1532548029946,12,pur,200,,loadTest 2-222,text,true,,3142,133,1,1,,12,0,0
1532548029966,12,pur,200,,loadTest 2-223,text,true,,3142,133,1,1,,12,0,0
1532548029985,13,pur,200,,loadTest 2-224,text,true,,3142,133,1,1,,13,0,1
1532548030005,13,pur,200,,loadTest 2-225,text,true,,3142,133,1,1,,13,0,1
1532548030026,12,pur,200,,loadTest 2-226,text,true,,3142,133,1,1,,12,0,0
1532548030046,12,pur,200,,loadTest 2-227,text,true,,3142,133,1,1,,12,0,0
1532548030066,12,pur,200,,loadTest 2-228,text,true,,3142,133,1,1,,12,0,0
1532548030086,12,pur,200,,loadTest 2-229,text,true,,3142,133,1,1,,12,0,0
1532548030106,12,pur,200,,loadTest 2-230,text,true,,3142,133,1,1,,12,0,0
1532548030126,12,pur,200,,loadTest 2-231,text,true,,3142,133,1,1,,12,0,0
1532548030146,12,pur,200,,loadTest 2-232,text,true,,3142,133,1,1,,12,0,0
1532548030166,12,pur,200,,loadTest 2-233,text,true,,3142,133,1,1,,12,0,0
1532548030186,12,pur,200,,loadTest 2-234,text,true,,3142,133,1,1,,12,0,0
1532548030206,12,pur,200,,loadTest 2-235,text,true,,3142,133,1,1,,12,0,0
1532548030226,12,pur,200,,loadTest 2-236,text,true,,3142,133,1,1,,12,0,0
1532548030246,12,pur,200,,loadTest 2-237,text,true,,3142,133,1,1,,12,0,0
1532548030266,12,pur,200,,loadTest 2-238,text,true,,3142,133,1,1,,12,0,0
1532548030286,12,pur,200,,loadTest 2-239,text,true,,3142,133,1,1,,12,0,0
1532548030306,12,pur,200,,loadTest 2-240,text,true,,3142,133,1,1,,12,0,0
1532548030326,12,pur,200,,loadTest 2-241,text,true,,3142,133,1,1,,12,0,0
1532548030346,12,pur,200,,loadTest 2-242,text,true,,3142,133,1,1,,12,0,0
1532548030366,12,pur,200,,loadTest 2-243,text,true,,3142,133,1,1,,12,0,0
1532548030386,13,pur,200,,loadTest 2-244,text,true,,3142,133,1,1,,13,0,1
1532548030405,13,pur,200,,loadTest 2-245,text,true,,3142,133,1,1,,13,0,1
1532548030425,12,pur,200,,loadTest 2-246,text,true,,3142,133,1,1,,12,0,1
1532548030445,12,pur,200,,loadTest 2-247,text,true,,3142,133,1,1,,12,0,1
1532548030466,11,pur,200,,loadTest 2-248,text,true,,3142,133,1,1,,11,0,0
1532548030486,12,pur,200,,loadTest 2-249,text,true,,3142,133,1,1,,12,0,0
1532548030506,12,pur,200,,loadTest 2-250,text,true,,3142,133,1,1,,12,0,0
1532548030526,13,pur,200,,loadTest 2-251,text,true,,3142,133,1,1,,13,0,0
1532548030546,12,pur,200,,loadTest 2-252,text,true,,3142,133,1,1,,12,0,0
1532548030566,12,pur,200,,loadTest 2-253,text,true,,3142,133,1,1,,12,0,0
1532548030586,12,pur,200,,loadTest 2-254,text,true,,3142,133,1,1,,12,0,0
1532548030606,12,pur,200,,loadTest 2-255,text,true,,3142,133,1,1,,12,0,0
1532548030626,12,pur,200,,loadTest 2-256,text,true,,3142,133,1,1,,12,0,0
1532548030645,12,pur,200,,loadTest 2-257,text,true,,3142,133,1,1,,12,0,0
1532548030665,12,pur,200,,loadTest 2-258,text,true,,3142,133,1,1,,12,0,0
1532548030685,12,pur,200,,loadTest 2-259,text,true,,3142,133,1,1,,12,0,0
1532548030705,12,pur,200,,loadTest 2-260,text,true,,3142,133,1,1,,12,0,0
1532548030725,12,pur,200,,loadTest 2-261,text,true,,3142,133,1,1,,12,0,0
1532548030745,12,pur,200,,loadTest 2-262,text,true,,3142,133,1,1,,12,0,0
1532548030765,12,pur,200,,loadTest 2-263,text,true,,3142,133,1,1,,12,0,0
1532548030785,13,pur,200,,loadTest 2-264,text,true,,3142,133,1,1,,13,0,0
